Star_name,Distance,Mass,Radius
Sun,0.000015813,1,1
Sirius,8.6,2.1,1.71
Alpha Centauri,4.4,1.1,1.2
Arcturus,37,1.1,26
Vega,25,2.2,2.7
Capella,43,2.6,12
Procyon,11.4,1.5,1.9
Altair,17,1.8,1.8
Aldebaran,65,1.5,44
Pollux,34,1.9,8.8
Fomalhaut,25,1.9,1.8
Regulus,77,3.8,3.1
Castor,52,2.8,2.4
Gacrux,88,1.5,84
Alioth,81,2.9,4.2
Menkalinan,81,2.39,2.77
Alsephina[2],80,2.4,2.9
Tau Ceti,11.9,0.783,0.893
Delta Pavonis,19.92,0.991,1.22
Ran,10.48,0.82,0.74
Titawin,44.25,1.27,1.48
61 Cygni,11.41,0.7,0.665
54 Piscium,36.1,0.76,0.94
Lacaille 8760,12.87,0.6,0.51
Barnard's Star,5.98,0.14,0.2
Luhman 16,6.52,0.04,0.665
Proxima Centauri,4.25,0.12,0.15
Gliese 1214,47.5,0.16,0.21
VB 10,18.72,0.075,0.1
TRAPPIST-1,39.6,0.089,0.12
2MASS J0523-1403,40.3,0.07,0.086
WISE 0855−0714,7.27,0.003,0.086
SDSS J000013.54+255418.6 [de],46.1,48,0.99
2MASS J00242463-0158201,37.7,79,1.09
2MASSW J0030300-145033,87.2,54,0.98
2MASS J00345157+0523050,31,42,0.94
2MASS 0036+1821,28.6,42,0.94
2MASSW J0045214+163445,57,23,1.62
WISEP J004701.06+680352.1 [fr],40,12,1.3
2MASS J00501994-3322402 [de],34,40,0.94
2MASS J00584253-0651239 [de],96,29,1.43
2MASSI J0103320+193536,70,52,0.98
SDSSp J010752.33+004156.1 [de],51,52,0.98
SDSS J015141.69+124429.6,70,47,0.97
2MASS J02431371−2453298,35,33,0.99
LP 771-21,53,78,1.08
Teegarden's star,12.578,80,1.27
WISE J0254+0223,24,65,1.9
DEN 0255-4700,16.2,80,0.97
2MASS J03185403-3421292 [de],45,49,0.97
2MASS J03205965+1854233,47,88,1.15
SDSS J032553.17+042540.1,59,45,0.95
2MASS J03264225-2102057 [de],80,18,1.3
2MASS J03284265+2302051 [de],98,54,0.98
2MASS J03341218-4953322,27,73,1.04
LP 944-20,20.9,73,1.43
2MASP J0345432+254023,88,74,1.05
2MASS J03510004-0052452,48,102,1.27
2MASS J03552337+1133437,29.8,20,1.32
2MASS J04151954−0935066,18.6,30,0.95
2MASS J04285096-2253227 [de],85,80,1.09
2MASS J04351612-1606574,34,100,1.26
2MASS J04390101-2353083 [de],29.5,48,0.97
2MASS J04433764+0002040,82,22,1.78
2MASS J04455387-3048204 [de],42,64,1
2MASS J04510093-3402150 [de],69,1.04,72
2MASS J05002100+0330501 [de],44,64,1
2MASS J05012406-0010452 [de],64,21,1.38
2MASS J05160945-0445499 [de],73,47,0.97
2MASS J0523−1403,40,68,1.01
SDSS J053951.99-005902.0,41.62,61,1.01
LSR 0602+3910 [de],34.6,28,1.41
2MASS J06244595-4521548 [de],39,56,0.99
2MASS J06411840-4322329 [de],65,67,1.01
DENIS-P J0652197-253450 [de],51,75,1.05
2MASS J07075327-4900503,60,72,1.03
UGPS J072227.51-054031.2,13.4,26,0.98
2MASSI J0727182+171001 [de],29.6,41,0.94
2MASS J07290002-3954043 [de],25.8,37,0.94
SDSS J074201.41+205520.5 [de],49,43,0.94
DENIS-P J0751164-253043 [de],55,71,1.03
2MASS J07522390+1612157,60,2.01,68
DENIS J081730.0-615520,16.1,44,0.94
2MASS J08251968+2115521 [de],35,52,0.98
SDSSp J083008.12+482847.4 [de],43,48,0.99
LHS 2021,55,88,1.15
SDSS J083048.80+012831.1 [de],77,46,0.96
2MASSI J0835425-081923 [de],23.53,62,1
2MASSI J0847287-153237 [de],43,64,1
2MASS J08533619-0329321,27.6,77,1.07
2MASSI J0859254-194926 [de],50,50,0.98
2MASSI J0937347+293142,20,42,0.94
2MASS 0939−2448,17.4,32,0.95
2MASS J09490860-1545485 [de],59,49,0.96
2MASS J10073369-4555147,46,44,0.94
2MASSI J1010148-040649 [de],55,51,0.98
2MASS J10224821+5825453 [de],60,27,1.41
2MASSW J1036530-344138 [de],53,49,0.97
2MASS J1047538+212423 [de],34.4,42,0.94
DEN 1048-3956,13.15,77,1.07
Luhman 16B,6.516,43,1.02
Luhman 16A,6.516,40,1.01
DENIS-P J1058.7−1548,49,64,1
SDSS J111010.01+011613.1,63,9,1.24
2MASS J11145133−2618235,18.2,33,0.96
2MASSW J1155395-372735 [de],31,64,1
2MASSI J1217110-031113 [de],36,42,0.94
2M 1237+6526,45.6,41,0.94
SDSSp J125453.90-012247.4 [de],38,47,0.98
Kelu-1A,61,63,0.98
Kelu-1B,61,58,0.98
SDSSp J132629.82-003831.5 [de],65,51,0.97
SDSSp J134646.45-003150.4 [de],48,44,0.94
2MASS J13595510-4034582,51,63,1
ULAS J141623.94+134836.3,29.7,32,0.96
DENIS-P J142527.97-365023.4 [de],38,21,1.32
LHS 2924,38.5,76,1.06
2MASS J14392837+1929150,47,72,1.03
LSPM J1440+1339,72,92,1.19
2MASS J14482563+1031590 [de],47,59,0.99
TVLM 513-46546,35.1,75,1.05
2MASS 1503+2525,20.7,44,0.94
CFBDS J150411+102717,71,44,0.94
2MASSW J1506544+132106 [de],46,69,1.02
2MASS 1507−1627,23.9,60,0.99
TVLM 868-110639,53,79,1.08
2MASSW J1515008+484742 [de],34,57,0.99
2MASSI J1526140+204341 [de],67,54,0.98
DENIS-P J153941.96-052042.4 [de],51,63,1
2MASS J15462718-3325111 [de],37,44,0.94
2MASSW J1552591+294849 [de],68,30,1.43
2MASSW J1555157-095605 [de],44,71,1.03
2MASS J16150413+1340079 [de],48,42,0.94
SDSSp J162414.37+002915.6 [de],36,43,0.94
2MASSW J1632291+190441 [de],50,49,0.97
WISEPA J164715.59+563208.2,28,41,0.94
LSPM J1658+7027 [de],60,73,1.04
SDSSp J175032.96+175903.9,90,47,0.97
2MASS J18283572-4849046,39,45,0.95
LSR J1835+3259,18.5,77,1.07
2MASS J18432213+4040209,46,96,1.22
SDSS J204749.61-071818.3,65,46,0.96
2MASSI J2057540-025230,47,70,1.02
2MASSI J2104149-103736,62,69,1.02
PSO J318.5−22,80,6.5,1.53
2MASS J21392676+0220226,32.1,46,0.96
2MASS J21481628+4003593,26.3,55,0.99
2MASSW J2206450-421721,93,22,1.33
2MASSW J2224438-015852,38,61,0.99
2MASS J22282889-4310262,35,42,0.94
2MASS J22373255+3922398,64,73,1.04
2MASSW J2244316+204343,56,12,1.29
2MASS J23224684-3133231,56,24,1.39
2MASS J23515044-2537367,67,88,1.16
2MASSI J2356547-155310,74,80,1.09
WISE 0410+1502,20,6,1.17
WISE 0458+6434A,35.9,15,4.2
WISE 0458+6434B,35.9,10,3.8
WISE 1405+5534,25.3,30,0.86
